,Company Name,tick,Optionable,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F1 Consensus Est.,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Sales Growth F(0)/F(-1),Annual Sales ($mil),EBIT ($mil),Cost of Goods Sold ($mil),Net Income  ($mil),Cash Flow ($mil),Current Assets  ($mil),Industry,Sector,Market Cap (mil),Last Close,52 Week High,sales_growth_f1,fcf_margin
2604,Markforged Holding Corporation,MKFG,YES,-0.08,-0.07,1.0,-0.28,102.5,23.6,10.67,100.96,-25.79501,50.25199,-25.38801,-51.017,229.81599,Manufacturing - General Industrial ,Industrial Products,189.75,0.97,3.7,0.015138399785559852,-0.505318938193344
2607,MarketWise,MKTW,YES,-0.02,-0.04,1.0,-0.12,399.0,102.0,-6.7,512.4,102.66,62.69699,17.98999,3.378,279.17498,Technology Services,Business Services,518.21,1.59,4.08,-0.2501441531327156,0.006592505854800937
2609,MoneyLion,ML,YES,,,,-0.22,,,99.14,340.74,-184.90101,106.41899,-189.066,-67.378,317.86099,Financial Transaction Services,Business Services,109.07,0.4195,2.42,,-0.19774021247872278
2616,Milestone Scientific,MLSS,YES,,,,,,,-14.55,8.81,-8.773,3.90499,-8.70601,-8.5616,12.97099,Medical - Dental Supplies,Medical,51.82,0.7403,1.22,,-0.9718047673098751
2617,Meta Materials,MMAT,YES,-0.04,-0.04,2.0,-0.15,21.2,3.45,149.82,10.2,-84.76201,3.036,-79.102,-72.98301,22.60499,Electronics - Miscellaneous Components,Computer and Technology,75.44,0.1966,2.16,0.7316134613877414,-7.155197058823529
2620,Martin Midstream Partners,MMLP,YES,,,,,,,15.46,1018.88,51.25799,623.30603,-10.334,67.18199,211.12699,Transportation - Shipping,Transportation,97.29,2.5,5.74,,0.06593709759736181
2626,MIND C.T.I.,MNDO,YES,,,,,,,-18.06,21.55,5.617,10.04399,5.287,5.48,20.298,Internet - Software,Computer and Technology,38.64,1.92,2.86,,0.25429234338747103
2634,Montauk Renewables,MNTK,YES,0.02,0.03,1.0,0.1,166.5,39.59999,38.77,205.56,45.034,57.26699,35.194,58.57899,124.86799,Alternative Energy - Other,Oils-Energy,998.45,6.95,20.32,-0.21074265270353035,0.2849727086981903
2635,Momentus,MNTS,YES,,,,-0.56,2.23,,-9.39,0.3,-90.182,0.026,-95.44401,-86.001,76.274,Aerospace - Defense,Aerospace,43.51,0.4581,3.73,2.0059743897979634,-286.67
2636,Momentive Global,MNTV,YES,0.09,0.12,2.0,0.38,493.79998,121.25,8.37,480.92,-76.824,86.25099,-89.891,55.826,263.45401,Computers - IT Services,Computer and Technology,1408.95,9.35,17.64,0.02642960030214236,0.11608167678615985
2637,Manitex International,MNTX,YES,0.04,0.02,1.0,0.18,275.20001,68.5,29.46,273.85,2.453,223.835,-4.90101,14.58699,127.50399,Manufacturing - General Industrial ,Industrial Products,105.16,5.23,7.78,0.004917631166666792,0.05326635019171078
2645,Mogo,MOGO,YES,-0.05,-0.05,2.0,-0.2,44.79,11.14,15.57,53.03,-122.505,17.468,-127.44001,-15.299,86.61,Technology Services,Business Services,47.39,0.632,2.08,-0.16887289092983,-0.28849707712615497
2647,Momo,MOMO,YES,0.38,0.43,2.0,1.54,1793.43298,435.17999,-19.47,1841.93,306.609,1076.005,215.19999,289.66699,1699.90002,Internet - Software,Computer and Technology,1653.77,8.38,11.31,-0.026682285921796747,0.15726275699945166
2653,Moxian,MOXC,YES,,,,,,,-76.87,0.22,-2.678,0.0,-2.74001,-2.74001,2.73699,Advertising and Marketing,Business Services,19.56,1.0,1.8,,-12.454590909090909
2655,Motorcar Parts of America,MPAA,YES,0.22,0.28,1.0,1.01,719.40002,170.5,20.25,650.31,28.704,532.44299,7.361,64.53299,536.98498,Automotive - Replacement Parts,Auto-Tires-Trucks,88.69,4.55,19.84,0.10096838678752662,0.09923419599883133
